Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1u,
C3,0402,1,1u,
C6,0402,1,0.1u,
D1,0402,1,LED,
"J1, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
"R1, R2, R3, R4, R5",0402,5,4.7k,
R12,0402,1,470,
R13,0402,1,10k,
U1,SOT-23-5,1,MCP6401T-xOT,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny402-SS,
U5,SOT-23-5_HandSoldering,1,NCP163ASN330T1G,
