Designator,Mid X,Mid Y,Rotation,Layer
C1,47.5,-136.4,180.0,top
C2,47.6,-142.8,180.0,top
C3,48.0,-151.3,0.0,top
C6,48.0,-152.6,0.0,top
D1,43.3,-152.3,0.0,top
J1,44.4,-137.6025,0.0,top
J2,44.905,-158.2,90.0,bottom
J3,44.74,-130.9,90.0,top
J4,41.9,-137.59,180.0,top
J5,48.9,-148.5,0.0,top
R1,42.4,-144.5,0.0,top
R12,44.9,-144.5,0.0,top
R13,43.3,-151.3,0.0,top
R2,47.6,-144.5,180.0,top
R3,43.3,-153.7,180.0,top
R4,43.3,-154.8,180.0,top
R5,43.3,-155.8,0.0,top
U1,46.6625,-154.8,180.0,top
U3,44.6,-147.9,90.0,top
U5,47.4,-139.6,90.0,top
